"Arti inferiori (gamba inferiore)"|"posizione"|"nome"|"prossimale"|"distale"|"nervo"|"funzione"|"strato"
"MUSCOLI FLESSORI DELLA GAMBA"|"posteriori"|"Muscolo gastrocnemio o gemelli"|"Gemello laterale: epicondilo laterale del femore, piano popliteo e porzione posteriore della capsula articolare del ginocchio. Gemello mediale: epicondilo mediale del femore, piano popliteo e porzione corrispondente della capsula articolare del ginocchio "|"Nel tendine calcaneare (o d'Achille) sul terzo medio della faccia posteriore del calcagno"|"Nervo Tibiale (L4-S1)"|"Estende il piede (lo flette plantarmente) e lo ruota internamente, contribuisce alla flessione della gamba"|"Strato superficiale (m. tricipite della sura)"
"MUSCOLI FLESSORI DELLA GAMBA"|"posteriori"|"soleo"|"Testa, faccia dorsale e margine laterale della fibula; linea obliqua e arcata del muscolo soleo sulla tibia"|"Nel tendine calcaneare (o d'Achille) sul terzo medio della faccia posteriore del calcagno"|"Nervo Tibiale (L4-S1)"|"Estende il piede (lo flette plantarmente) e contribuisce alla flessione della gamba"|"Strato superficiale (m. tricipite della sura)"
"MUSCOLI FLESSORI DELLA GAMBA"|"posteriori"|"plantare gracile"|"ramo laterale della line aspra del femore e capsula articolare del ginocchio"|"faccia postero-mediale del calcagno"|"Nervo Tibiale (L4-S1)"|"Simile al tricipite della sura : flette plantarmente il piede e partecipa alla flessione della gamba"|"Strato superficiale (m. tricipite della sura)"
"MUSCOLI FLESSORI DELLA GAMBA"|"posteriori"|"popliteo"|"area laterale dell'ultimo tratto del femore, appena sotto l'epicondilo laterale"|"appena sopra la sezione mediale della linea del soleo (tibia)"|"nervo tibiale"|"partecipa alla flessione della gamba sulla coscia e alla rotazione verso l'interno della tibia"|"Strato profondo"
"MUSCOLI FLESSORI DELLA GAMBA"|"posteriori"|"flessore lungo dell'alluce"|"superficie posteriore del perone"|"2a falange dell'alluce"|"tibiale posteriore"|"contribuisce alla plantarflessione e permette la flessione delle falangi dell'alluce"|"Strato profondo"
"MUSCOLI FLESSORI DELLA GAMBA"|"posteriori"|"flessore lungo delle dita"|"infero-mediale della linea del soleo"|"3a falange delle ultime 4 dita del piede"|"tibiale posteriore"|"plantarflessione e permette la flessione delle falangi delle ultime 4 dita"|"Strato profondo"
"MUSCOLI FLESSORI DELLA GAMBA"|"posteriori"|"tibiale posteriore (adduttore della gamba)"|"Origina dal labbro inferiore della linea obliqua e dalla faccia posteriore della tibia, dalla parte superiore della membrana interossea, dalla faccia mediale della fibula e dai setti intermuscolari circostanti"|"Tubercolo dello scafoide, 3 cuneiformi, 2°-4° metatarsale"|"Tibiale (L4, L5)"|"Estende (flette plantarmente), adduce (supina) e partecipa ai movimenti di rotazione interna del piede."|"Strato profondo"
"MUSCOLI ESTENSORI DELLA GAMBA"|"anteriori, flessione dorsale del piede"|"estensore lungo delle dita"|"1. superficie anteriore del condilo laterale della tibia, 2. margine mediale sezione prossimale del perone, 3. membrana interossea"|"Da un tendine principale, che passa sotto i legamenti del collo del piede, derivano 4 tendini secondari. Questi tendini secondari terminano con 3 linguette (mediale, mediana e laterale), sulla faccia dorsale delle falangi delle ultime 4 dita. Nella fattispecie, le linguette mediale e laterale raggiungono la faccia dorsale della base della 3a falange, mentre la linguetta mediana arriva fino alla faccia dorsale della base della 2a falange."|"tibiale anteriore"|"1. estendere le falangi delle ultime 4 dita, 2. Concorre al movimento di dorsiflessione, con leggera rotazione verso l'esterno del piede (leggera eversione)"|
"MUSCOLI ESTENSORI DELLA GAMBA"|"anteriori, flessione dorsale del piede"|"estensore lungo dell'alluce"|"metà circa del margine mediale del perone e sulla superficie anteriore della membrana interossea"|"il tendine penetra nel piede, passa sotto i legamenti del collo del piede e s'inserisce sulle due falangi dell'alluce. Nel suo attraversamento del piede, si unisce al tendine del muscolo estensore breve delle dita"|"tibiale anteriore"|"1. estendere le falangi dell'alluce, 2. Concorre al movimento di dorsiflessione, con leggera rotazione verso l'interno del piede (leggera inversione)"|
"MUSCOLI ESTENSORI DELLA GAMBA"|"anteriori, flessione dorsale del piede"|"tibiale anteriore (adduttore della gamba)"|"Condilo laterale (tubercolo del Gerdy) e metà superiore della faccia laterale della tibia, porzione superomediale della membrana interossea, fascia crurale, setto intermuscolare"|"Tubercolo del primo cuneiforme e base del primo metatarsale"|"Nervo peroneo profondo (L4-L5)"|"Flette dorsalmente, adduce (supina) e ruota medialmente il piede"|
